Sector,Project name,Estimated Value,Procurement Strategy,Current Phase,Procurement Start Date (est.),Procurement End Date (est.),Construction Start Date (est.),Construction End Date (est.),Project Link,Source Lifecycle,Unnamed: 7
Transport,Airport Precinct Safety and Access Program (APSAP),TBA,TBA,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q3 2027,https://www.transport.nsw.gov.au/projects/current-projects/airport-precinct-safety-and-access-program,Pipeline,
Transport,Appin Road safety improvements,$$,CO,Construction Procurement,Q3 2026,Q4 2026,Q1 2027,Q2 2029,https://roads-waterways.transport.nsw.gov.au/projects/appin-road-improvements/index.html,Pipeline,
Transport,Australia Avenue intersection upgrade,$$,D&C,Construction Procurement,Q2 2026,Q4 2026,Q1 2027,Q1 2029,https://roads-waterways.transport.nsw.gov.au/projects/homebush-bay-drive-australia-ave-upgrade/index.html,Pipeline,
Transport,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",$$$$,TBA,Construction Procurement,Q2 2026,Q4 2026,Q1 2027,Q3 2030,https://www.transport.nsw.gov.au/projects/current-projects/bandon-road-north-west-growth-area,Pipeline,
Transport,"Elizabeth Drive upgrade-Stage 1, Devonshire Road to Badgerys Creek",$$$,CD&C,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q3 2029,https://roads-waterways.transport.nsw.gov.au/projects/elizabeth-drive-upgrade/index.html,Pipeline,
Transport,Extend northbound overtaking lane on the approach to New Illawarra Road by approx 800m,$$,CD&C,Construction Procurement,Q1 2026,Q4 2026,Q1 2027,Q2 2028,https://www.transport.nsw.gov.au/,Pipeline,
Transport,Garfield Road upgrade East,$$$,CD&C,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q2 2029,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/garfield-road.html,Pipeline,
Transport,Henry Lawson Drive Stage 1B,$$,CO,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q1 2029,https://www.transport.nsw.gov.au/projects/current-projects/henry-lawson-drive-upgrade-stage-1b,Pipeline,
Transport,Fifteenth Avenue Upgrade,$$$$,CO,Construction Procurement,Q2 2026,Q2 2027,Q3 2027,Q2 2031,https://www.transport.nsw.gov.au/projects/current-projects/fifteenth-avenue-transit-corridor,Pipeline,
Transport,Mamre Road Upgrade - Stage 2,$$$,CD&C,Construction Procurement,Q2 2026,Q3 2026,Q4 2026,Q3 2029,https://www.transport.nsw.gov.au/projects/current-projects/mamre-road-upgrade-%E2%80%93-between-erskine-park-road-erskine-park-and-kerrs,Pipeline,
Transport,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",$$$,D&C,Design,Q1 2027,Q2 2027,Q3 2027,Q2 2030,https://roads-waterways.transport.nsw.gov.au/projects/mona-vale-road/mvrwest/index.html,Pipeline,
Transport,Muswellbrook Bypass,$$$,D&C,Construction Procurement,Q2 2026,Q2 2027,Q3 2027,Q2 2031,https://roads-waterways.transport.nsw.gov.au/projects/new-england-highway/muswellbrook-bypass.html,Pipeline,
Transport,Oxford Street Revitalisation (previously Oxford Street East Cycleway),$,TBA,Design,Q4 2028,Q2 2029,Q3 2029,Q4 2030,https://www.transport.nsw.gov.au/projects/current-projects/oxford-street-east-cycleway,Pipeline,
Transport,"Pacific Highway, Harrington Road / Coopernook Road interchange",$,CO,Construction Procurement,Q3 2026,Q3 2027,Q4 2027,Q1 2029,https://www.transport.nsw.gov.au/projects/current-projects/pacific-highway-harrington-road-interchange,Pipeline,
Transport,"Pacific Highway, Wyong Town Centre",$$$,CD&C,Construction Procurement,Q2 2026,Q1 2027,Q2 2027,Q4 2031,https://roads-waterways.transport.nsw.gov.au/projects/pacific-highway/wyong-town-centre-upgrade/index.html,Pipeline,
Transport,Safe Accessible Transport,$$$$,Various,Rolling Program,Ongoing,Ongoing,Ongoing,Ongoing,https://www.transport.nsw.gov.au/projects/programs/safe-accessible-transport-program,Pipeline,
Transport,Sydney Metro West - Parramatta Integrated Station,$$$$,D&C,Construction Procurement,Q3 2024,Q2 2026,Q1 2027,Q3 2029,https://www.sydneymetro.info/station/parramatta-metro-station,Pipeline,
Transport,Sydney Metro West - Pyrmont Integrated Station,$$$$,D&C,Construction Procurement,Q2 2026,Q4 2026,Q2 2027,Q3 2029,https://www.sydneymetro.info/station/pyrmont-station,Pipeline,
