source_dataset,source_project_id,source_project_name,source_agency,source_location,source_group,source_url,source_record_count,normalised_project_name
project_register,PRJ-0001,Airport Precinct Safety and Access Program (APSAP),,,Pipeline,https://www.transport.nsw.gov.au/projects/current-projects/airport-precinct-safety-and-access-program,1,airport precinct safety and access program apsap
project_register,PRJ-0002,Almond Street to M1 Princes Motorway,,,In Planning,https://roads-waterways.transport.nsw.gov.au/projects/picton-road-projects/picton-road-upgrade/index.html,1,almond street to m1 princes motorway
project_register,PRJ-0003,Appin Road safety improvements,,,Pipeline,https://roads-waterways.transport.nsw.gov.au/projects/appin-road-improvements/index.html,1,appin road safety improvements
project_register,PRJ-0004,Appin Town Centre By-Pass,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,1,appin town centre by pass
project_register,PRJ-0005,Australia Avenue intersection upgrade,,,Pipeline,https://roads-waterways.transport.nsw.gov.au/projects/homebush-bay-drive-australia-ave-upgrade/index.html,1,australia avenue intersection upgrade
project_register,PRJ-0006,Avoca Drive upgrade Kincumber,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/avoca-drive-upgrade-at-kincumber,1,avoca drive upgrade kincumber
project_register,PRJ-0007,"Bandon Road Upgrade & Extension, Windsor Road to Richmond Road",,,Pipeline,https://www.transport.nsw.gov.au/projects/current-projects/bandon-road-north-west-growth-area,1,bandon road upgrade and extension windsor road to richmond road
project_register,PRJ-0008,Barton Highway upgrade - Stage 2,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/barton-highway-corridor-upgrade-stage-2-barton-highway,1,barton highway upgrade stage 2
project_register,PRJ-0009,Bells Line of Road safety improvements,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/bells-line-of-road-safety-improvements,1,bells line of road safety improvements
project_register,PRJ-0010,Bradfield Metro Link Road - Badgery's Creek Road to Proposed Eastern Ring Road,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/bradfield-precinct-priority-roads,1,bradfield metro link road badgery s creek road to proposed eastern ring road
project_register,PRJ-0011,Bulli Bypass,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/bulli-bypass,1,bulli bypass
project_register,PRJ-0012,Burdekin Road and Townson Road upgrade,,,In Planning,https://roads-waterways.transport.nsw.gov.au/projects/north-west-growth-centre-strategy/townson-burdekin-road.html,1,burdekin road and townson road upgrade
project_register,PRJ-0013,Bus Service Improvement Program,,,In Planning,https://www.transport.nsw.gov.au/,1,bus service improvement program
project_register,PRJ-0014,Cambridge Avenue upgrade,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/cambridge-avenue-glenfield-upgrade,1,cambridge avenue upgrade
project_register,PRJ-0015,Camden Valley Way,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,1,camden valley way
project_register,PRJ-0016,Campbelltown Road,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/south-west-roads-planning,1,campbelltown road
project_register,PRJ-0017,Castlereagh Connection,,,In Planning,https://www.transport.nsw.gov.au/,1,castlereagh connection
project_register,PRJ-0018,Central Precinct Renewal Program - Main Works,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/central-precinct-renewal-program,1,central precinct renewal program main works
project_register,PRJ-0019,Circular Quay renewal,,,In Planning,https://www.transport.nsw.gov.au/,1,circular quay renewal
project_register,PRJ-0020,Cowpasture Road,,,In Planning,https://www.transport.nsw.gov.au/,1,cowpasture road
project_register,PRJ-0021,Dapto Ramps,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/south-facing-ramps-at-dapto,1,dapto ramps
project_register,PRJ-0022,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,,,In Planning,https://www.transport.nsw.gov.au/,1,devonshire link road mamre road stage 2 to elizabeth drive
project_register,PRJ-0023,Devonshire Road - Elizabeth Drive to Bringelly Road,,,In Planning,https://www.transport.nsw.gov.au/,1,devonshire road elizabeth drive to bringelly road
project_register,PRJ-0024,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,,,In Planning,https://www.transport.nsw.gov.au/,1,eastern ring road and badgerys creek road south elizabeth drive to the northern road
project_register,PRJ-0025,"Elizabeth Drive upgrade-Stage 1, Devonshire Road to Badgerys Creek",,,Pipeline,https://roads-waterways.transport.nsw.gov.au/projects/elizabeth-drive-upgrade/index.html,1,elizabeth drive upgrade stage 1 devonshire road to badgerys creek
project_register,PRJ-0026,Epping Bridge Project,,,In Planning,https://www.transport.nsw.gov.au/projects/current-projects/epping-bridge-project,1,epping bridge project
project_register,PRJ-0027,Extend northbound overtaking lane on the approach to New Illawarra Road by approx 800m,,,Pipeline,https://www.transport.nsw.gov.au/,1,extend northbound overtaking lane on the approach to new illawarra road by approx 800m
