master_project_id,master_project_name,canonical_source_dataset,canonical_source_project_id,match_group_id,source_record_count,source_dataset_count,source_datasets,has_cross_source_match
MASTER-0001,"Heathcote Road, The Avenue to Princes Highway",project_register,PRJ-0038,GROUP-0001,3,3,budget_paper; project_register; project_timeline,True
MASTER-0002,Western Sydney Heavy Vehicle Rest Area,project_register,PRJ-0096,GROUP-0002,3,3,budget_paper; project_register; project_timeline,True
MASTER-0003,M1 Tweed Heads and Byron Bay (State and Federal Funded),budget_paper,BUD-02D2E44107,GROUP-0003,1,1,budget_paper,False
MASTER-0004,Pedestrian Safety Barriers Blaxland,budget_paper,BUD-04E9A9619F,GROUP-0004,1,1,budget_paper,False
MASTER-0005,Airport Precinct Safety and Access Program (APSAP),project_register,PRJ-0001,GROUP-0005,3,3,budget_paper; project_register; project_timeline,True
MASTER-0006,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(c)",budget_paper,BUD-0883AFA828,GROUP-0006,1,1,budget_paper,False
MASTER-0007,Western Sydney Long Term Strategic Transport Corridor Preservation,budget_paper,BUD-08E4363424,GROUP-0007,1,1,budget_paper,False
MASTER-0008,Western Sydney International Airport Wayfinding,project_timeline,TFNSW-0099,GROUP-0008,2,2,budget_paper; project_timeline,True
MASTER-0009,Princes Highway Corridor (NSW) - Jervis Bay to Sussex Inlet Road Upgrade Stage 1 (State and Federal Funded),budget_paper,BUD-0EA71AF980,GROUP-0009,1,1,budget_paper,False
MASTER-0010,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,project_register,PRJ-0024,GROUP-0010,3,3,budget_paper; project_register; project_timeline,True
MASTER-0011,"Lease Acquisition between $250,000 and $20 million(a)",budget_paper,BUD-0EEE412074,GROUP-0011,1,1,budget_paper,False
MASTER-0012,Sheahan Bridge Upgrade (Planning) (State and Federal Funded),budget_paper,BUD-108031018C,GROUP-0012,1,1,budget_paper,False
MASTER-0013,Francis Road Railway Overpass Widening at Rooty Hill,project_timeline,TFNSW-0107,GROUP-0013,2,2,budget_paper; project_timeline,True
MASTER-0014,Devonshire Link Road and Bradfield Metro Link Road (Planning) (State and Federal Funded),budget_paper,BUD-11D8E6866A,GROUP-0014,1,1,budget_paper,False
MASTER-0015,New Bus Services for Western Sydney,project_register,PRJ-0059,GROUP-0015,3,3,budget_paper; project_register; project_timeline,True
MASTER-0016,"Lease Acquisition between $250,000 and $20 million(a)",budget_paper,BUD-142F883609,GROUP-0016,1,1,budget_paper,False
MASTER-0017,Princes Highway Corridor - Milton Ulladulla Bypass (State and Federal Funded),budget_paper,BUD-162C3A2891,GROUP-0017,1,1,budget_paper,False
MASTER-0018,Regional Corridors Upgrade Program – Euston to Tocumwal,project_register,PRJ-0073,GROUP-0018,3,3,budget_paper; project_register; project_timeline,True
MASTER-0019,Princes Highway Corridor (NSW) - Jervis Bay Road to Hawken Road (State and Federal Funded),budget_paper,BUD-19CC4BAA16,GROUP-0019,1,1,budget_paper,False
MASTER-0020,"Pacific Highway, Wyong Town Centre",project_register,PRJ-0070,GROUP-0020,3,3,budget_paper; project_register; project_timeline,True
MASTER-0021,Mamre Road - Erskine Park Road to Kerrs Road (State and Federal Funded),budget_paper,BUD-1B5414E81E,GROUP-0021,1,1,budget_paper,False
MASTER-0022,"Prospect Highway, Reservoir Road to St Martins Crescent (State and Federal Funded)",budget_paper,BUD-1B82A8C537,GROUP-0022,1,1,budget_paper,False
MASTER-0023,Sydney Metro City and Southwest(b),budget_paper,BUD-1CA427DAF9,GROUP-0023,1,1,budget_paper,False
MASTER-0024,Bandon Road Corridor Upgrade and Extension (Planning) (State and Federal Funded)(d),budget_paper,BUD-1CBFC0787B,GROUP-0024,1,1,budget_paper,False
MASTER-0025,"King Georges Road, Stoney Creek Road to Connells Point Road - Stage 1 and 2A (State and Federal Funded)",budget_paper,BUD-1EA45D850D,GROUP-0025,1,1,budget_paper,False
MASTER-0026,"Minmi Road and Newcastle Link Road, Edgeworth",budget_paper,BUD-1FCC4A8462,GROUP-0026,1,1,budget_paper,False
MASTER-0027,"Great Western Highway, Medlow Bath (State and Federal Funded)",budget_paper,BUD-2559AC5020,GROUP-0027,1,1,budget_paper,False
MASTER-0028,Western Distributor Smart Motorway (State and Federal Funded),budget_paper,BUD-262FF355DB,GROUP-0028,1,1,budget_paper,False
MASTER-0029,Traffic Lights at Bank Street,budget_paper,BUD-29068BD298,GROUP-0029,1,1,budget_paper,False
MASTER-0030,"Hargraves Lane and Federation St Upgrade, Gilgandra (Heavy Vehicle bypass) (State and Federal Funded)",budget_paper,BUD-2BD8B456AF,GROUP-0030,1,1,budget_paper,False
MASTER-0031,Castlereagh Connection,project_register,PRJ-0017,GROUP-0031,3,3,budget_paper; project_register; project_timeline,True
MASTER-0032,Tolling Operations and Modernisation,budget_paper,BUD-2CEC9D2094,GROUP-0032,1,1,budget_paper,False
MASTER-0033,Bus Transport Management System (BTMS),budget_paper,BUD-2DA7F81D69,GROUP-0033,1,1,budget_paper,False
MASTER-0034,Bruxner Highway Upgrades,budget_paper,BUD-2EB349B281,GROUP-0034,1,1,budget_paper,False
MASTER-0035,Waterfall Way Upgrade,budget_paper,BUD-2F3E8A1DB2,GROUP-0035,1,1,budget_paper,False
MASTER-0036,Mamre Road Stage 2 - Erskine Park Road to Kerrs Road (State and Federal Funded),budget_paper,BUD-2F462C0CFB,GROUP-0036,1,1,budget_paper,False
MASTER-0037,Warringah Freeway Upgrade,budget_paper,BUD-3029BE90AC,GROUP-0037,1,1,budget_paper,False
MASTER-0038,Circular Quay Precinct Renewal (Planning) (State and Federal Funded),budget_paper,BUD-341A7DEC42,GROUP-0038,1,1,budget_paper,False
MASTER-0039,Western Sydney Roads (Planning) (State and Federal Funded),budget_paper,BUD-364246C8DD,GROUP-0039,1,1,budget_paper,False
MASTER-0040,Western Distributor Network Integration,budget_paper,BUD-39E1ADA860,GROUP-0040,1,1,budget_paper,False
MASTER-0041,"Heathcote Road, Infantry Parade, Hammondville to The Avenue, Voyager Point (State and Federal Funded)",budget_paper,BUD-3A1CC1C8D7,GROUP-0041,1,1,budget_paper,False
MASTER-0042,Townson and Burdekin Road Upgrades (Planning) (State and Federal Funded),budget_paper,BUD-3A484C60E7,GROUP-0042,1,1,budget_paper,False
MASTER-0043,Devonshire Road (Planning),budget_paper,BUD-3A635972C5,GROUP-0043,1,1,budget_paper,False
MASTER-0044,Driftway Roundabout at Londonderry,budget_paper,BUD-3AB43004E9,GROUP-0044,1,1,budget_paper,False
MASTER-0045,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,project_register,PRJ-0084,GROUP-0045,3,3,budget_paper; project_register; project_timeline,True
MASTER-0046,Richmond Road Corridor Upgrade (Planning) (State and Federal Funded),budget_paper,BUD-3CE94DF8C5,GROUP-0046,1,1,budget_paper,False
MASTER-0047,Pitt Town Bypass(c),budget_paper,BUD-3DBA2152A0,GROUP-0047,1,1,budget_paper,False
