master_project_id,master_project_name,snapshot_id,project_id,project_match_key,budget_year,project_name,agency,agency_group,government_sector,work_category,delivery_status,program_group,location,start_period,start_year,start_disclosed,completion_period,completion_year,completion_disclosed,estimated_total_cost_000,total_cost_disclosed,estimated_expenditure_to_june_000,expenditure_disclosed,annual_allocation_000,allocation_disclosed,source_file,source_page,source_row_top
MASTER-0001,"Heathcote Road, The Avenue to Princes Highway",BUD-0068923BF1-2024-25,BUD-0068923BF1,Transport for NSW|heathcote road the avenue to princes highway planning,2024-25,Heathcote Road - The Avenue to Princes Highway (Planning),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,4006,True,2500,True,bp3-infrastructure-statement-2024-25.pdf,142,254.602
MASTER-0002,Western Sydney Heavy Vehicle Rest Area,BUD-029B29C941-2025-26,BUD-029B29C941,Transport for NSW|western sydney heavy vehicle rest area state and federal funded,2025-26,Western Sydney Heavy Vehicle Rest Area (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Eastern Creek,n.a.,,False,n.a.,,False,,False,1101,True,31499,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,154,462.512
MASTER-0002,Western Sydney Heavy Vehicle Rest Area,BUD-029B29C941-2026-27,BUD-029B29C941,Transport for NSW|western sydney heavy vehicle rest area state and federal funded,2026-27,Western Sydney Heavy Vehicle Rest Area (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Eastern Creek,n.a.,,False,n.a.,,False,,False,80179,True,3255,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,151,216.8749999999999
MASTER-0003,M1 Tweed Heads and Byron Bay (State and Federal Funded),BUD-02D2E44107-2026-27,BUD-02D2E44107,Transport for NSW|m1 tweed heads and byron bay state and federal funded,2026-27,M1 Tweed Heads and Byron Bay (State and Federal Funded),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Regional NSW (Roads and Bridges),Various,n.a.,,False,n.a.,,False,,False,,False,10500,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,149,537.4449999999999
MASTER-0004,Pedestrian Safety Barriers Blaxland,BUD-04E9A9619F-2024-25,BUD-04E9A9619F,Transport for NSW|pedestrian safety barriers blaxland,2024-25,Pedestrian Safety Barriers Blaxland,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Urban Roads Fund,Blaxland,n.a.,,False,n.a.,,False,,False,100,True,1500,True,bp3-infrastructure-statement-2024-25.pdf,147,156.90199999999993
MASTER-0005,Airport Precinct Safety and Access Program (APSAP),BUD-07A125ADC3-2025-26,BUD-07A125ADC3,Transport for NSW|airport precinct safety access program apsap,2025-26,Airport Precinct Safety & Access Program (APSAP),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,7382,True,1000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,155,604.4019999999999
MASTER-0005,Airport Precinct Safety and Access Program (APSAP),BUD-07A125ADC3-2026-27,BUD-07A125ADC3,Transport for NSW|airport precinct safety access program apsap,2026-27,Airport Precinct Safety & Access Program (APSAP),Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Other Major Programs,Various,n.a.,,False,n.a.,,False,,False,15779,True,27866,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,152,373.49499999999995
MASTER-0006,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(c)",BUD-0883AFA828-2025-26,BUD-0883AFA828,Transport for NSW|richmond road upgrade between m7 motorway and townson road marsden park state and federal funded,2025-26,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(d)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Colebee,n.a.,,False,n.a.,,False,,False,18186,True,40000,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,154,326.15199999999993
MASTER-0006,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(c)",BUD-0883AFA828-2026-27,BUD-0883AFA828,Transport for NSW|richmond road upgrade between m7 motorway and townson road marsden park state and federal funded,2026-27,"Richmond Road Upgrade between M7 Motorway and Townson Road, Marsden Park (State and Federal Funded)(c)",Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Colebee,n.a.,,False,n.a.,,False,520000,True,61702,True,102116,True,bp3-infrastructure-statement-nsw-budget-2026-27.pdf,150,736.0649999999999
MASTER-0007,Western Sydney Long Term Strategic Transport Corridor Preservation,BUD-08E4363424-2024-25,BUD-08E4363424,Transport for NSW|western sydney long term strategic transport corridor preservation,2024-25,Western Sydney Long Term Strategic Transport Corridor Preservation,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,136842,True,57000,True,bp3-infrastructure-statement-2024-25.pdf,143,248.36199999999997
MASTER-0007,Western Sydney Long Term Strategic Transport Corridor Preservation,BUD-08E4363424-2025-26,BUD-08E4363424,Transport for NSW|western sydney long term strategic transport corridor preservation,2025-26,Western Sydney Long Term Strategic Transport Corridor Preservation,Transport for NSW,Transport for NSW,general_government,Major Works,Works in Progress,Connecting Sydney Roads,Various,n.a.,,False,n.a.,,False,,False,158470,True,23486,True,bp3-infrastructure-statement-nsw-budget-2025-26.pdf,154,499.232
