master_project_id,master_project_name,timeline_id,tfnsw_project_id,project_name,project_group,estimated_value_code,delivery_type,stage_name,timing_status,start_quarter,end_quarter,start_quarter_index,end_quarter_index,fill_color_hex,source_page,source_shape_type,source_x0,source_x1
MASTER-0204,Bells Line of Road safety improvements,TLS-0001,TFNSW-0001,Bells Line of Road Safety Improvements,Bells Line of Road,$$,TBA,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,1,curve,162.9629236098779,445.73659013164126
MASTER-0031,Castlereagh Connection,TLS-0002,TFNSW-0002,Castlereagh Connection,Bells Line of Road,$$$$$$,TBA,Project staging not yet available,Not available,Q3 2026,Q4 2028,0,9,#C3AAD2,1,curve,162.9629236098779,419.8452849384458
MASTER-0201,Avoca Drive upgrade Kincumber,TLS-0003,TFNSW-0003,"Avoca Drive Upgrade, Kincumber",Central Coast roads,$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q3 2026,0,0,#20A8E1,2,curve,163.21675993530138,186.56970187426208
MASTER-0201,Avoca Drive upgrade Kincumber,TLS-0004,TFNSW-0003,"Avoca Drive Upgrade, Kincumber",Central Coast roads,$$$,TBA,Detailed or reference design,To be confirmed,Q4 2026,Q2 2027,1,3,#D0DDAD,2,curve,189.1080620564971,264.24361438184894
MASTER-0201,Avoca Drive upgrade Kincumber,TLS-0005,TFNSW-0003,"Avoca Drive Upgrade, Kincumber",Central Coast roads,$$$,TBA,Construction procurement,To be confirmed,Q3 2027,Q4 2027,4,5,#F3AEA3,2,curve,266.7819708200841,316.02621795224036
MASTER-0201,Avoca Drive upgrade Kincumber,TLS-0006,TFNSW-0003,"Avoca Drive Upgrade, Kincumber",Central Coast roads,$$$,TBA,Construction and commissioning,To be confirmed,Q1 2028,Q1 2030,6,14,#9C9DC5,2,curve,317.8030835582043,548.7941396935765
MASTER-0238,"Manns Road Upgrade, Stockyard Place to Narara Creek Road priority intersection upgrades",TLS-0007,TFNSW-0004,"Manns Road Upgrade, Stockyard Place to Narara Creek Road Priority Intersection Upgrades",Central Coast roads,$$,CO,Project staging not yet available,Not available,Q3 2026,Q1 2029,0,10,#C3AAD2,2,curve,162.9629236098779,445.73659013164126
MASTER-0020,"Pacific Highway, Wyong Town Centre",TLS-0008,TFNSW-0005,"Pacific Highway, Wyong Town Centre",Central Coast roads,$$$$,CD&C,Construction procurement,Confirmed,Q3 2026,Q1 2027,0,2,#DD0030,2,curve,162.4552516310309,238.0984766072297
MASTER-0020,"Pacific Highway, Wyong Town Centre",TLS-0009,TFNSW-0005,"Pacific Highway, Wyong Town Centre",Central Coast roads,$$$$,CD&C,Detailed or reference design,Confirmed,Q2 2027,Q3 2027,3,4,#7BAE27,2,curve,240.8906662988885,290.13491343104477
MASTER-0020,"Pacific Highway, Wyong Town Centre",TLS-0010,TFNSW-0005,"Pacific Highway, Wyong Town Centre",Central Coast roads,$$$$,CD&C,Construction and commissioning,Confirmed,Q4 2027,Q2 2030,5,15,#173077,2,curve,291.9117646370093,574.6854311587726
MASTER-0105,Terrigal Drive Upgrade,TLS-0011,TFNSW-0006,Terrigal Drive Upgrade,Central Coast roads,$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,2,curve,163.21675993530138,367.8088382266311
MASTER-0105,Terrigal Drive Upgrade,TLS-0012,TFNSW-0006,Terrigal Drive Upgrade,Central Coast roads,$$,TBA,Project staging not yet available,Not available,Q3 2028,Q2 2030,8,15,#C3AAD2,2,curve,370.0933741794421,575.1931251216188
MASTER-0227,Gosford Bypass,TLS-0013,TFNSW-0007,Gosford Bypass,Hunter roads,TBA,TBA,Project staging not yet available,Not available,Q3 2026,Q2 2030,0,15,#C3AAD2,2,curve,162.9629236098779,575.1931160976192
MASTER-0233,"John Renshaw Drive upgrade, Black Hill",TLS-0014,TFNSW-0008,"John Renshaw Drive upgrade, Black Hill",Hunter roads,$$$$,TBA,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q2 2028,0,7,#20A8E1,2,curve,163.21675993530138,367.8088382266311
MASTER-0233,"John Renshaw Drive upgrade, Black Hill",TLS-0015,TFNSW-0008,"John Renshaw Drive upgrade, Black Hill",Hunter roads,$$$$,TBA,Project staging not yet available,Not available,Q3 2028,Q3 2029,8,12,#C3AAD2,2,curve,370.0933741794421,497.51920954203206
MASTER-0233,"John Renshaw Drive upgrade, Black Hill",TLS-0016,TFNSW-0008,"John Renshaw Drive upgrade, Black Hill",Hunter roads,$$$$,TBA,Construction procurement,To be confirmed,Q4 2029,Q2 2030,13,15,#F3AEA3,2,curve,499.8037355108435,574.9392878361954
MASTER-0237,"Mandalong Road upgrade, Morisset",TLS-0017,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Detailed or reference design,Confirmed,Q3 2026,Q4 2026,0,1,#7BAE27,2,curve,163.21675993530138,212.46100706745767
MASTER-0237,"Mandalong Road upgrade, Morisset",TLS-0018,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Construction procurement,To be confirmed,Q1 2027,Q2 2027,2,3,#F3AEA3,2,curve,214.99936417769277,264.24361130984903
MASTER-0237,"Mandalong Road upgrade, Morisset",TLS-0019,TFNSW-0009,"Mandalong Road upgrade, Morisset",Hunter roads,$$,CO,Construction and commissioning,To be confirmed,Q3 2027,Q1 2030,4,14,#9C9DC5,2,curve,266.020476915813,548.7941434375764
MASTER-0245,Nelson Bay Road Improvements,TLS-0020,TFNSW-0010,Nelson Bay Road Improvements,Hunter roads,$$$$,D&C,Concept design and/or environmental assessment,Confirmed,Q3 2026,Q1 2028,0,6,#20A8E1,2,curve,163.21675993530138,341.9175330334355
